Gmt time,Open,High,Low,Close,Volume
06.02.2017 14:00:00.000,1.30770,1.30996,1.30684,1.30901,11324429687.5
06.02.2017 15:00:00.000,1.30901,1.31353,1.30900,1.31204,14604969726.5625
06.02.2017 16:00:00.000,1.31200,1.31278,1.31031,1.31162,10238269531.25
06.02.2017 17:00:00.000,1.31162,1.31283,1.31096,1.31144,7639160156.25
06.02.2017 18:00:00.000,1.31145,1.31211,1.30992,1.30994,8384709960.9375
06.02.2017 19:00:00.000,1.30995,1.31033,1.30852,1.30908,7157350097.6563
06.02.2017 20:00:00.000,1.30905,1.30923,1.30788,1.30856,5822520019.5313
06.02.2017 21:00:00.000,1.30860,1.30905,1.30763,1.30833,3030629882.8125
06.02.2017 22:00:00.000,1.30833,1.30887,1.30759,1.30768,1913189941.4063
06.02.2017 23:00:00.000,1.30774,1.30853,1.30737,1.30843,3557459960.9375
07.02.2017 00:00:00.000,1.30843,1.30998,1.30811,1.30975,5240189941.4063
07.02.2017 01:00:00.000,1.30973,1.31014,1.30917,1.30918,5202310058.5938
07.02.2017 02:00:00.000,1.30920,1.30942,1.30777,1.30904,5320689941.4063
07.02.2017 03:00:00.000,1.30904,1.30974,1.30830,1.30963,7804680175.7813
07.02.2017 04:00:00.000,1.30963,1.31083,1.30948,1.31075,5057879882.8125
07.02.2017 05:00:00.000,1.31075,1.31090,1.31034,1.31047,4698799804.6875
07.02.2017 06:00:00.000,1.31049,1.31226,1.31034,1.31177,5083910156.25
07.02.2017 07:00:00.000,1.31178,1.31489,1.31161,1.31484,7987509765.625
07.02.2017 08:00:00.000,1.31482,1.31938,1.31423,1.31767,10257379882.8125
07.02.2017 09:00:00.000,1.31767,1.32029,1.31767,1.31964,8801240234.375
07.02.2017 10:00:00.000,1.31964,1.31998,1.31897,1.31962,6367680175.7813
07.02.2017 11:00:00.000,1.31962,1.32122,1.31953,1.31989,8976519531.25
07.02.2017 12:00:00.000,1.31989,1.31989,1.31789,1.31792,7713609863.2813
07.02.2017 13:00:00.000,1.31790,1.31874,1.31638,1.31693,9389030273.4375
07.02.2017 14:00:00.000,1.31698,1.31763,1.31610,1.31693,10129679687.5
07.02.2017 15:00:00.000,1.31689,1.31764,1.31517,1.31549,9880519531.25
07.02.2017 16:00:00.000,1.31549,1.31691,1.31516,1.31654,10250959960.9375
07.02.2017 17:00:00.000,1.31655,1.31820,1.31635,1.31768,8956160156.25
07.02.2017 18:00:00.000,1.31764,1.31793,1.31626,1.31742,8290929687.5
07.02.2017 19:00:00.000,1.31740,1.31742,1.31602,1.31617,6017109863.2813
07.02.2017 20:00:00.000,1.31619,1.31719,1.31567,1.31668,4778830078.125
07.02.2017 21:00:00.000,1.31670,1.31921,1.31664,1.31826,4403149902.3438
07.02.2017 22:00:00.000,1.31827,1.31868,1.31756,1.31826,2303010009.7656
07.02.2017 23:00:00.000,1.31831,1.31975,1.31821,1.31909,4232459960.9375
08.02.2017 00:00:00.000,1.31909,1.32002,1.31871,1.31877,5427310058.5938
08.02.2017 01:00:00.000,1.31877,1.31944,1.31721,1.31786,8066560058.5938
08.02.2017 02:00:00.000,1.31787,1.31826,1.31730,1.31743,5230120117.1875
08.02.2017 03:00:00.000,1.31743,1.31781,1.31721,1.31721,3570139892.5781
08.02.2017 04:00:00.000,1.31721,1.31780,1.31701,1.31749,4534970214.8438
08.02.2017 05:00:00.000,1.31748,1.31805,1.31737,1.31798,5832850097.6563
08.02.2017 06:00:00.000,1.31799,1.31843,1.31728,1.31841,4412970214.8438
08.02.2017 07:00:00.000,1.31840,1.31919,1.31781,1.31792,7161620117.1875
08.02.2017 08:00:00.000,1.31795,1.31833,1.31577,1.31582,8622490234.375
08.02.2017 09:00:00.000,1.31582,1.31672,1.31579,1.31644,7036299804.6875
08.02.2017 10:00:00.000,1.31645,1.31665,1.31566,1.31591,5662140136.7188
08.02.2017 11:00:00.000,1.31591,1.31604,1.31477,1.31485,5950839843.75
08.02.2017 12:00:00.000,1.31484,1.31590,1.31438,1.31517,6999339843.75
08.02.2017 13:00:00.000,1.31517,1.31575,1.31420,1.31487,7717399902.3438
08.02.2017 14:00:00.000,1.31490,1.31597,1.31399,1.31556,10604660156.25
08.02.2017 15:00:00.000,1.31558,1.31768,1.31409,1.31439,13994150390.625
08.02.2017 16:00:00.000,1.31441,1.31684,1.31380,1.31569,11397690429.6875
08.02.2017 17:00:00.000,1.31569,1.31614,1.31458,1.31599,8564150390.625
08.02.2017 18:00:00.000,1.31598,1.31717,1.31598,1.31686,10352780273.4375
